#
# Machine: bebop ['Linux', 'x86_64', 'x86_64']
# Date: Tue Jan 14 17:11:02 2020
#
# Image: ../3d/tomo.mrc (Tue Jan 14 17:09:39 2020)
# Regions: 
#     ../viz/labels.mrc (Tue Jan 14 17:11:59 2020)
# Out pickle files:
#     - regions: tomo_regions.pkl (Tue Jan 14 17:11:02 2020)
# Input script: regions.py (Mon Jun 17 17:33:34 2019) $Revision: 1574 $
# Working directory: /fs/pool/pool-lucic2/pyto/presynaptic_example_small/segmentation/cell_tomo-4/regions
#
# Region ids: 
#     [2, 3, 35, 47, 72, 74, 36, 48, 49, 50, 52, 58, 59, 60, 61]
#
# Membrane thickness: None
#
# Distance region id: None
# Distance mode(s): min
#

# Id          Region density               
#      mean     std     min     max volume 
  2  1368.879 738.720 -1162.418 5156.931  44140 
  3  1852.235 710.034 -1524.226 5460.545 853827 
 35  1578.184 674.413 -562.196 3371.190    416 
 47  1530.972 682.844 -637.786 3181.919    573 
 72  1573.336 719.954 -364.298 3995.712    547 
 74  1514.860 664.674 -36.176 3453.990    484 
 36  1568.992 658.167 -808.413 3833.702   8289 
 48  1600.878 697.351 -730.292 4149.376   6031 
 49  1634.627 740.396 -730.253 4385.233   8217 
 50  1605.049 691.190 -1158.058 4079.704   8829 
 52  1568.784 703.687 -1062.093 3910.766  11123 
 58  1549.648 626.182 -942.336 3916.650   8409 
 59  1610.218 695.041 -907.202 4406.508   8925 
 60  1617.473 718.736 -730.109 4231.382   8709 
 61  1639.554 754.841 -1367.469 4259.295   9171 

# All together: 
#  0  1809.650 720.378 -1524.226 5460.545 977690 

# bkg 1823.12 783.22 -1787.35 5248.82
# tot 1813.29 737.92 -1787.35 5460.54

# Average values: 
# av  1587.58 95.08 1368.88 1852.23        
