#
# Machine: bebop ['Linux', 'x86_64', 'x86_64']
# Date: Tue Jan 14 17:11:38 2020
#
# Image: ../3d/tomo.mrc (Tue Jan 14 17:09:39 2020)
# Vesicles: 
#     ../viz/labels.mrc (Tue Jan 14 17:11:59 2020)
# Out pickle files:
#     - vesicles: tomo_vesicles.pkl (Tue Jan 14 17:11:37 2020)
#     - membrane: tomo_mem.pkl (Tue Jan 14 17:11:37 2020)
#     - lumen: tomo_lum.pkl (Tue Jan 14 17:13:39 2020)
# Input script: vesicles.py (Mon Jun 17 17:33:34 2019) $Revision: 1574 $
# Working directory: /fs/pool/pool-lucic2/pyto/presynaptic_example_small/segmentation/cell_tomo-4/vesicles
#
# Vesicle ids: 
#     [36, 48, 49, 50, 52, 58, 59, 60, 61]
#
# Membrane thickness: 2
#
# Distance region id: 2
# Distance mode(s): ('mean', 'min')
#

# Id      Vesicle density                  Membrane density              Interior density         Vesicle Membrane   Distance Distance     Center              Radius         
#     mean    std    min    max        mean   std    min    max        mean   std    min    max                         mean      min   x     y     z   mean  std    min   max  
 36  1568.99 658.17 -808.41 3833.70  1494.69 667.38 -808.41 3833.70  1610.79 649.20 -744.68 3714.81    8289   2984     82.2     69.6    38    37    16  12.1  0.23  11.7  12.5
 48  1600.88 697.35 -730.29 4149.38  1456.10 683.27 -730.29 4099.52  1695.13 690.24 -655.30 4149.38    6031   2378     15.7      4.5    86    87    12  10.9  0.25  10.4  11.2
 49  1634.63 740.40 -730.25 4385.23  1508.70 694.95 -730.25 4047.07  1706.43 755.77 -630.70 4385.23    8217   2984     14.2      1.7   117    41    16  12.1  0.24  11.6  12.4
 50  1605.05 691.19 -1158.06 4079.70  1440.77 665.82 -780.18 3698.04  1695.19 688.26 -1158.06 4079.70    8829   3128     34.9     22.4    58    98    16  12.4  0.24  12.0  12.8
 52  1568.78 703.69 -1062.09 3910.77  1328.18 644.04 -707.11 3910.77  1690.08 701.29 -1062.09 3899.09   11123   3728     48.5     35.0    87    25    27  13.4  0.24  13.0  13.9
 58  1549.65 626.18 -942.34 3916.65  1399.35 587.35 -942.34 3714.28  1634.40 631.47 -497.29 3916.65    8409   3032     81.4     69.0    18    76    28  12.2  0.23  11.7  12.6
 59  1610.22 695.04 -907.20 4406.51  1442.24 658.20 -683.39 4255.54  1705.21 697.35 -907.20 4406.51    8925   3224     15.2      2.8    68   125    34  12.4  0.25  12.0  12.8
 60  1617.47 718.74 -730.11 4231.38  1383.23 664.90 -730.11 3842.29  1746.42 714.67 -686.81 4231.38    8709   3092     15.5      3.6    88    88    41  12.4  0.24  11.9  12.7
 61  1639.55 754.84 -1367.47 4259.29  1355.53 685.32 -1367.47 4101.28  1797.09 745.49 -720.35 4259.29    9171   3272     15.8      2.8   110    49    44  12.6  0.26  12.0  13.0

# All together: 
#  0  1598.88 700.74 -1367.47 4406.51  1419.30 663.73 -1367.47 4255.54  1699.04 700.85 -1158.06 4406.51   77703  27822     -1.0     -1.0    69    68    29  12.3  0.65  10.4  13.9
# bkg 1823.12 783.22 -1787.35 5248.82
# tot 1813.29 737.92 -1787.35 5460.54

# Average values: 
# av  1599.47 29.19 1549.65 1639.55  1423.20 57.69 1328.18 1508.70  1697.86 51.66 1610.79 1797.09                                                     12.3  0.62  10.9  13.4
