#
# Machine: bebop ['Linux', 'x86_64', 'x86_64']
# Date: Tue Jan 14 18:22:49 2020
#
# Input script: connectors.py (Tue Jan 14 18:23:42 2020)  $Revision: 1573 $
# Working directory: /fs/pool/pool-lucic2/pyto/presynaptic_example_small/segmentation/cell_tomo-4/connectors
#
# Image (in): ../3d/tomo.mrc (Tue Jan 14 17:09:39 2020)
# Boundaries (in): ../viz/labels.mrc (Tue Jan 14 17:11:59 2020)
# Hierarchy image (out): tomo.mrc (Tue Jan 14 18:22:49 2020)
# SegmentationAnalysis pickle (out): tomo.pkl (Tue Jan 14 18:22:49 2020)
#
# Boundary ids: 
#     [2, 36, 48, 49, 50, 52, 58, 59, 60, 61]
#
# Number of boundaries contacted: 2
# Contact mode: exact
#
# Segmentation region: 3
# Free region size: 0
# Free region mode: add
#
# Structuring element connectivities
#     - connector formation: 1
#     - size: 3
#     - contact detection: 1
#     - contact counting: 1
#     - topology: 1
#
# Length
#     - contact mode: b2c
#     - line mode: mid
#
#
# Distance:
#   - region(s): 2
#   - mode: mean
#
# Thresholds: 500.000 550.000 600.000 650.000 700.000 750.000 800.000 850.000 900.000 950.000 1000.000 1050.000 1100.000 1150.000 1200.000 1250.000 1300.000 1350.000 1400.000
#
#
# Number of segments: 105
#
# Classification: 
# 	None
#
# Threshold        Density               Volume Surface  S/V   N segments
#          mean    std     min     max                                    
500.0000  109.738 307.804 -612.193 499.873      36      35  0.972       1   
550.0000  147.055 308.350 -612.193 518.490      41      40  0.976       1   
600.0000  188.749 324.253 -612.193 597.555      70      69  0.986       2   
650.0000  256.007 314.642 -612.193 646.740     107     106  0.991       3   
700.0000  288.404 320.973 -612.193 695.208     117     115  0.983       3   
750.0000  332.577 327.988 -612.193 746.252     153     151  0.987       4   
800.0000  359.063 313.943 -612.193 796.591     203     201  0.990       6   
850.0000  383.439 318.491 -612.193 841.094     221     219  0.991       6   
900.0000  432.316 333.112 -612.193 893.930     249     246  0.988       5   
950.0000  495.222 332.991 -612.193 949.355     356     353  0.992       6   
1000.0000  535.351 343.050 -612.193 998.585     398     394  0.990       6   
1050.0000  576.593 351.709 -612.193 1049.778     457     445  0.974       4   
1100.0000  627.434 357.003 -612.193 1098.926     563     549  0.975       5   
1150.0000  684.457 356.968 -612.193 1149.870    1106    1080  0.976       4   
1200.0000  722.486 379.332 -929.085 1199.807    2956    2871  0.971       8   
1250.0000  809.825 351.977 -1176.771 1249.993   20501   19955  0.973      13   
1300.0000  827.810 375.788 -1166.960 1299.502    3518    3435  0.976      12   
1350.0000  857.637 402.571 -1166.960 1349.965    2359    2299  0.975       8   
1400.0000  884.486 406.002 -843.718 1399.491    1307    1261  0.965       8   
